83|||3|1|1|73
82|||0|1|1|41
85|||2|0|0|127
77|||0|0|0|162
78|||100|4|9|0
74|||0|0|0|113
46|||100|0|0|0
64|||0|0|0|117
78|||0|0|0|83
82|||0|0|0|142
57|||0|0|0|109
56|||0|0|0|94
80|||0|0|0|141
82|||0|0|0|154
49|||0|0|0|0
75|||0|0|0|0
62|||0|0|0|0
62|||0|0|0|0
64|||0|0|0|0
54|||0|0|0|0
38|||0|0|0|0
83|||0|0|0|0
65|||0|0|0|0
79|||0|0|0|0
47|||0|0|0|0
68|||0|0|0|0
44|||0|0|0|0
73|||0|0|0|0
59|||0|0|0|0
79|||0|0|0|0
51|||0|0|0|0
79|||0|0|0|0
66|||0|0|0|0
81|||0|0|0|0
57|||0|0|0|0
78|||0|0|0|0
66|||0|0|0|0
80|||0|0|0|0
54|||0|0|0|0
76|||0|0|0|0
